标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
黄村东里  南北通透两居 满五唯一 精装出售,黄村东里 -黄村中,2室1厅 | 73.63平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,2室1厅 , 73.63平米 , 南 北 , 精装 , 顶层(共6层)  ,不详, 板楼,1人关注 / 3天以前发布,239,"32,460元/平"
东直门  幸福二村  南北通透两居室  随时签约,幸福二村 -工体,2室1厅 | 54平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2室1厅 , 54平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,4人关注 / 7天以前发布,460,"85,186元/平"
金隅丽景园 2室1厅 西,金隅丽景园 -常营,2室1厅 | 68.87平米 | 西 | 精装 | 28层 | 2009年建 | 塔楼,2室1厅 , 68.87平米 , 西 , 精装 , 28层 , 2009年建 , 塔楼,14人关注 / 5天以前发布,298,"43,270元/平"
八宝山南路29号院 2室1厅 南 北,八宝山南路29号院 -鲁谷,2室1厅 | 58.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 58.8平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 5天以前发布,295,"50,171元/平"
又一村 2室1厅 南 北,又一村 -定慧寺,2室1厅 | 53.26平米 | 南 北 | 简装 | 底层(共6层)  | 板楼,2室1厅 , 53.26平米 , 南 北 , 简装 , 底层(共6层)  ,不详, 板楼,4人关注 / 6天以前发布,555,"104,206元/平"
南三环 马公庄南北两居室 精装修 拎包入住,马公庄 -木樨园,2室1厅 | 54.5平米 | 南 北 | 精装 | 底层(共6层) | 1985年建 | 板楼,2室1厅 , 54.5平米 , 南 北 , 精装 , 底层(共6层) , 1985年建 , 板楼,15人关注 / 7天以前发布,290,"53,212元/平"
垡头西里二区 2室0厅 南,垡头西里二区 -垡头,2室0厅 | 54.94平米 | 南 | 其他 | 低楼层(共13层) | 1983年建 | 板塔结合,2室0厅 , 54.94平米 , 南 , 其他 , 低楼层(共13层) , 1983年建 , 板塔结合,3人关注 / 2天以前发布,235,"42,774元/平"
小马厂东里 2室1厅 南,小马厂东里 -广安门,2室1厅 | 71.49平米 | 南 | 其他 | 低楼层(共17层) | 1986年建 | 塔楼,2室1厅 , 71.49平米 , 南 , 其他 , 低楼层(共17层) , 1986年建 , 塔楼,5人关注 / 3天以前发布,720,"100,714元/平"
西便门内大街79号院 兵器五院央产房 南北通透采光充足,西便门内大街79号院 -长椿街,2室1厅 | 58.29平米 | 南 北 | 精装 | 顶层(共6层) | 1987年建 | 板楼,2室1厅 , 58.29平米 , 南 北 , 精装 , 顶层(共6层) , 1987年建 , 板楼,17人关注 / 7天以前发布,580,"99,503元/平"
万象新天 南北双通透 2层带电梯 花园洋房 诚意报价,万象新天二区 -常营,2室1厅 | 98.44平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,2室1厅 , 98.44平米 , 南 北 , 精装 , 低楼层(共6层) , 2004年建 , 板楼,3人关注 / 5天以前发布,705,"71,618元/平"
石园北区南北通透的户型，三层，光线充足,石园北区 -顺义城,2室1厅 | 77.33平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,2室1厅 , 77.33平米 , 南 北 , 简装 , 中楼层(共6层) , 1998年建 , 板楼,3人关注 / 2天以前发布,235,"30,390元/平"
首创紫悦台 南北通透 三居室 精装修,首创紫悦台 -良乡,3室1厅 | 95.46平米 | 南 北 | 精装 | 高楼层(共16层) | 2017年建 | 板楼,3室1厅 , 95.46平米 , 南 北 , 精装 , 高楼层(共16层) , 2017年建 , 板楼,2人关注 / 7天以前发布,423,"44,312元/平"
房子西北向，简单装修，采光充足，视野好，无遮挡,霁月园 -滨河西区,2室1厅 | 68.57平米 | 西 北 | 简装 | 底层(共6层)  | 板楼,2室1厅 , 68.57平米 , 西 北 , 简装 , 底层(共6层)  ,不详, 板楼,2人关注 / 6天以前发布,260,"37,918元/平"
兴盛街187号院 2室2厅 南 北,兴盛街187号院 -枣园,2室2厅 | 85.56平米 | 南 北 | 简装 | 高楼层(共11层) | 2009年建 | 板楼,2室2厅 , 85.56平米 , 南 北 , 简装 , 高楼层(共11层) , 2009年建 , 板楼,2人关注 / 5天以前发布,345,"40,323元/平"
风雅园三区中间楼层两居室，繁华商圈 靠谱出售,风雅园三区 -回龙观,2室1厅 | 80.14平米 | 南 北 | 简装 | 6层 | 2000年建 | 板楼,2室1厅 , 80.14平米 , 南 北 , 简装 , 6层 , 2000年建 , 板楼,8人关注 / 7天以前发布,429,"53,532元/平"
康庄中巷4号院 满五年 高楼层 南北通透,康庄中巷4号院 -枣园,2室1厅 | 89.29平米 | 南 北 | 简装 | 顶层(共12层)  | 板楼,2室1厅 , 89.29平米 , 南 北 , 简装 , 顶层(共12层)  ,不详, 板楼,3人关注 / 6天以前发布,330,"36,959元/平"
满五唯一，中间位置，中高楼层，户型方，采光充足,加州水郡四期 -长阳,2室1厅 | 87.75平米 | 西北 | 简装 | 中楼层(共14层) | 2011年建 | 塔楼,2室1厅 , 87.75平米 , 西北 , 简装 , 中楼层(共14层) , 2011年建 , 塔楼,3人关注 / 6天以前发布,238,"27,123元/平"
京通苑东南向两居中楼层无遮挡满二商品房一号线管庄站,京通苑 -管庄,3室1厅 | 83.56平米 | 东南 | 精装 | 中楼层(共18层) | 2000年建 | 塔楼,3室1厅 , 83.56平米 , 东南 , 精装 , 中楼层(共18层) , 2000年建 , 塔楼,1人关注 / 5天以前发布,390,"46,674元/平"
北京新天地四期，双阳台全南两居,北京新天地四期 -常营,2室1厅 | 101.74平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2室1厅 , 101.74平米 , 南 , 精装 , 高楼层(共26层)  ,不详, 板塔结合,3人关注 / 3天以前发布,650,"63,889元/平"
马家堡西里 南北通透带双阳台  带电梯  靠地铁4号线,马家堡西里 -马家堡,2室1厅 | 72.81平米 | 南 北 | 简装 | 中楼层(共14层) | 1998年建 | 板楼,2室1厅 , 72.81平米 , 南 北 , 简装 , 中楼层(共14层) , 1998年建 , 板楼,8人关注 / 2天以前发布,398,"54,663元/平"
视野好，采光没有遮挡，户型方正，看房方便,苗圃宿舍 -西北旺,2室1厅 | 49.5平米 | 东 | 简装 | 低楼层(共6层)  | 板楼,2室1厅 , 49.5平米 , 东 , 简装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 4天以前发布,420,"84,849元/平"
马家堡西里  满五唯一  商品房  两室一厅  近地铁,马家堡西里 -马家堡,2室1厅 | 55.59平米 | 东 西 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,2室1厅 , 55.59平米 , 东 西 , 简装 , 高楼层(共6层) , 1992年建 , 板楼,1人关注 / 3天以前发布,325,"58,464元/平"
融泽嘉园东一路8号院 2室1厅 南 北,融泽嘉园东一路8号院 -回龙观,2室1厅 | 88.92平米 | 南 北 | 简装 | 28层  | 板楼,2室1厅 , 88.92平米 , 南 北 , 简装 , 28层  ,不详, 板楼,0人关注 / 7天以前发布,570,"64,103元/平"
新源街小区三居室楼层低看房随时小区安静,新源街 -亮马桥,3室1厅 | 56.72平米 | 东南 西北 | 精装 | 6层 | 1982年建 | 板楼,3室1厅 , 56.72平米 , 东南 西北 , 精装 , 6层 , 1982年建 , 板楼,2人关注 / 5天以前发布,435,"76,693元/平"
众美城  满五唯一 一梯两户 南北向全明三居室,众美城 -大兴新机场,3室2厅 | 90.01平米 | 南 北 | 简装 | 顶层(共10层) | 2014年建 | 板楼,3室2厅 , 90.01平米 , 南 北 , 简装 , 顶层(共10层) , 2014年建 , 板楼,0人关注 / 2天以前发布,245,"27,220元/平"
潘家园东里 2室1厅 南,潘家园东里 -潘家园,2室1厅 | 66.92平米 | 南 | 简装 | 底层(共18层) | 1998年建 | 塔楼,2室1厅 , 66.92平米 , 南 , 简装 , 底层(共18层) , 1998年建 , 塔楼,30人关注 / 7天以前发布,335,"50,060元/平"
白露雅园两居室 满五唯一 中间层 业主急售有钥匙,白露雅园东区 -后沙峪,2室1厅 | 99.13平米 | 南 北 | 简装 | 中楼层(共5层) | 2005年建 | 板楼,2室1厅 , 99.13平米 , 南 北 , 简装 , 中楼层(共5层) , 2005年建 , 板楼,8人关注 / 5天以前发布,352,"35,509元/平"
运河西大街155号院 满五年唯一 中间层两居，首付77万,运河西大街155号院 -果园,2室1厅 | 53.79平米 | 南 北 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,2室1厅 , 53.79平米 , 南 北 , 简装 , 中楼层(共6层) , 1981年建 , 板楼,2人关注 / 6天以前发布,210,"39,041元/平"
此房满五唯一，南北通透双明卫三居，高层观景采光好,爱这城二期 -四惠,3室2厅 | 160.33平米 | 南 北 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,3室2厅 , 160.33平米 , 南 北 , 精装 , 高楼层(共18层) , 2008年建 , 板楼,14人关注 / 30天以前发布,1435,"89,503元/平"
高层眼镜户型三居，全新房满五唯一，前后园林水系环绕,观湖国际 -朝阳公园,3室2厅 | 187.05平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,3室2厅 , 187.05平米 , 南 北 , 精装 , 中楼层(共27层)  ,不详, 板楼,12人关注 / 20天以前发布,2189,"117,028元/平"
上潞园 两居室 南北通透  业主诚心出售,上潞园 -潞苑,2室1厅 | 93平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 93平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,8人关注 / 29天以前发布,298,"32,044元/平"
香悦四季南北双通透四居户型，中高层,香悦四季 -马坡,4室2厅 | 138.53平米 | 南 北 | 精装 | 高楼层(共11层) | 2011年建 | 板楼,4室2厅 , 138.53平米 , 南 北 , 精装 , 高楼层(共11层) , 2011年建 , 板楼,18人关注 / 30天以前发布,509,"36,743元/平"
百旺家苑 南北通透 四居室 诚意出售,百旺家苑 -马连洼,4室2厅 | 164.46平米 | 南 北 | 精装 | 中楼层(共5层) | 2003年建 | 板楼,4室2厅 , 164.46平米 , 南 北 , 精装 , 中楼层(共5层) , 2003年建 , 板楼,20人关注 / 26天以前发布,1260,"76,615元/平"
西翠芳庭 南北大三居，满五年商品房，看房随时,西翠芳庭 -青塔,3室1厅 | 119.46平米 | 南 北 | 精装 | 低楼层(共22层) | 2003年建 | 塔楼,3室1厅 , 119.46平米 , 南 北 , 精装 , 低楼层(共22层) , 2003年建 , 塔楼,18人关注 / 22天以前发布,580,"48,552元/平"
本房央产房满五年 楼层好 视野宽阔 无遮挡 交通便利,官书院 -安定门,3室1厅 | 115.9平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,3室1厅 , 115.9平米 , 南 北 , 简装 , 中楼层(共6层) , 1998年建 , 板楼,51人关注 / 1个月以前发布,1620,"139,776元/平"
华远和墅 毛坯房 看房方便 诚心出售,华远和墅 -南中轴机场商务区,3室2厅 | 133.43平米 | 南 北 | 毛坯 | 7层  | 板楼,3室2厅 , 133.43平米 , 南 北 , 毛坯 , 7层  ,不详, 板楼,13人关注 / 19天以前发布,265,"19,861元/平"
天际高尔夫 诚心出售 户型方正 南北通透 舒适三居,万象新天天际高尔夫 -常营,3室1厅 | 143.61平米 | 南 北 | 精装 | 底层(共6层) | 2009年建 | 板楼,3室1厅 , 143.61平米 , 南 北 , 精装 , 底层(共6层) , 2009年建 , 板楼,18人关注 / 23天以前发布,870,"60,581元/平"
通州区 京洲世家 中泽馨园 南北通透 全明户型 三居室,京洲世家 -九棵树(家乐福),3室2厅 | 138.11平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,3室2厅 , 138.11平米 , 南 北 , 精装 , 中楼层(共10层)  ,不详, 板楼,5人关注 / 19天以前发布,589,"42,648元/平"
绿岛苑三居双卫 带电梯 中高楼层 采光好 视野宽阔,绿岛苑西区 -定福庄,3室1厅 | 119.12平米 | 南 北 | 精装 | 24层  | 塔楼,3室1厅 , 119.12平米 , 南 北 , 精装 , 24层  ,不详, 塔楼,7人关注 / 19天以前发布,510,"42,814元/平"
万科物业 南北通透 采光好 装修好,万科城市花园 -后沙峪,4室2厅 | 226.34平米 | 南 西 北 | 精装 | 顶层(共5层) | 1997年建 | 板楼,4室2厅 , 226.34平米 , 南 西 北 , 精装 , 顶层(共5层) , 1997年建 , 板楼,10人关注 / 25天以前发布,728,"32,165元/平"
商品房满五年唯一，户型方正，无抵押，无户口,天通西苑三区 -天通苑,3室2厅 | 187.98平米 | 南 西 北 | 简装 | 中楼层(共32层) | 2003年建 | 塔楼,3室2厅 , 187.98平米 , 南 西 北 , 简装 , 中楼层(共32层) , 2003年建 , 塔楼,17人关注 / 30天以前发布,528,"28,089元/平"
光大名筑 2004年 低密度板楼社区  管理好,光大名筑 -亚运村小营,3室1厅 | 120.63平米 | 南 北 | 简装 | 低楼层(共12层) | 2004年建 | 板塔结合,3室1厅 , 120.63平米 , 南 北 , 简装 , 低楼层(共12层) , 2004年建 , 板塔结合,12人关注 / 24天以前发布,1200,"99,478元/平"
西三区，客厅、卧室带落地阳台，阳光好，采光视野棒！,天通西苑三区 -天通苑,3室2厅 | 144.25平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,3室2厅 , 144.25平米 , 东北 , 精装 , 中楼层(共32层)  ,不详, 塔楼,4人关注 / 30天以前发布,505,"35,009元/平"
太阳公元北区新上四居室  前后无遮挡 眼镜户型 急售,太阳公元北区 -太阳宫,4室2厅 | 219.87平米 | 南 北 | 精装 | 低楼层(共22层) | 2011年建 | 板楼,4室2厅 , 219.87平米 , 南 北 , 精装 , 低楼层(共22层) , 2011年建 , 板楼,5人关注 / 17天以前发布,3680,"167,372元/平"
珠江罗马西区 三居 业主诚意出售 看房方便,珠江罗马嘉园西区 -朝青,3室1厅 | 149.75平米 | 南 北 | 精装 | 22层 | 2005年建 | 板塔结合,3室1厅 , 149.75平米 , 南 北 , 精装 , 22层 , 2005年建 , 板塔结合,12人关注 / 27天以前发布,1078,"71,987元/平"
龙博苑一区 3室1厅 南 北,龙博苑一区 -回龙观,3室1厅 | 126.09平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,3室1厅 , 126.09平米 , 南 北 , 简装 , 中楼层(共6层) , 2005年建 , 板楼,9人关注 / 25天以前发布,586,"46,475元/平"
温泉花园A区 2层 精装 三居室满两年原网签价305万,温泉花园A区 -北七家,3室2厅 | 125.92平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,3室2厅 , 125.92平米 , 南 北 , 精装 , 低楼层(共6层) , 1996年建 , 板楼,23人关注 / 19天以前发布,336,"26,684元/平"
天露园一区 3室1厅 南 北,天露园一区 -回龙观,3室1厅 | 127.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3室1厅 , 127.95平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,2人关注 / 21天以前发布,530,"41,423元/平"
望京西园三区高板楼四居户型方正双通透,望京西园三区 -望京,4室2厅 | 171.77平米 | 西南 东北 | 精装 | 14层 | 2001年建 | 板楼,4室2厅 , 171.77平米 , 西南 东北 , 精装 , 14层 , 2001年建 , 板楼,27人关注 / 23天以前发布,1150,"66,950元/平"
环境好小区，满五唯一住宅，南北通透两居室，,天通苑北二区 -天通苑,2室2厅 | 109.63平米 | 南 北 | 简装 | 低楼层(共13层) | 2004年建 | 板楼,2室2厅 , 109.63平米 , 南 北 , 简装 , 低楼层(共13层) , 2004年建 , 板楼,6人关注 / 19天以前发布,460,"41,960元/平"
丰台南四环 2004年 南北通透三居 客厅朝南 落地窗,和义西里三区 -和义,3室2厅 | 109.22平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,3室2厅 , 109.22平米 , 南 北 , 精装 , 中楼层(共6层) , 2004年建 , 板楼,16人关注 / 19天以前发布,480,"43,948元/平"
商品房社区，南北通透格局，配套齐全，人车分流。,金泰丽湾悦栖山 -大峪,3室1厅 | 134.72平米 | 南 北 | 精装 | 20层  | 板楼,3室1厅 , 134.72平米 , 南 北 , 精装 , 20层  ,不详, 板楼,3人关注 / 29天以前发布,545,"40,455元/平"
加州小镇 南北通透 中高楼层 视野开阔,DBC加州小镇C区 -临河里,3室2厅 | 134.04平米 | 南 北 | 简装 | 高楼层(共18层) | 2011年建 | 板楼,3室2厅 , 134.04平米 , 南 北 , 简装 , 高楼层(共18层) , 2011年建 , 板楼,3人关注 / 30天以前发布,598,"44,614元/平"
满两年中高楼层，采光好，精装修,翡翠公园一期 -北七家,4室2厅 | 127.95平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,4室2厅 , 127.95平米 , 南 北 , 精装 , 中楼层(共9层)  ,不详, 板楼,18人关注 / 26天以前发布,809,"63,228元/平"
百朗园  2002年商品房小区  人车分流  中高楼层视野好,百朗园 -五棵松,3室1厅 | 141.68平米 | 东南 | 精装 | 17层  | 板塔结合,3室1厅 , 141.68平米 , 东南 , 精装 , 17层  ,不详, 板塔结合,10人关注 / 21天以前发布,1155,"81,522元/平"
融景城 满五年唯一 有花园 有下跃,融景城 -八角,4室3厅 | 174.78平米 | 南 北 | 简装 | 底层(共17层) | 2011年建 | 板楼,4室3厅 , 174.78平米 , 南 北 , 简装 , 底层(共17层) , 2011年建 , 板楼,14人关注 / 22天以前发布,898,"51,379元/平"
南纬路2号院，央产房，三卧室朝南,南纬路2号院 -陶然亭,3室1厅 | 78.63平米 | 南 北 | 精装 | 12层 | 1981年建 | 板楼,3室1厅 , 78.63平米 , 南 北 , 精装 , 12层 , 1981年建 , 板楼,38人关注 / 23天以前发布,880,"111,917元/平"
徜徉嘉园8号院 南北通透三居室 高楼层采光好。,徜徉嘉园8号院 -长阳,3室2厅 | 128.64平米 | 南 北 | 精装 | 高楼层(共6层) | 2014年建 | 板楼,3室2厅 , 128.64平米 , 南 北 , 精装 , 高楼层(共6层) , 2014年建 , 板楼,3人关注 / 22天以前发布,609,"47,342元/平"
国韵村 挑高 大落地窗 三居河景房 一梯两户 通勤便利,国韵村 -旧宫,3室1厅 | 109.47平米 | 南 北 | 精装 | 顶层(共11层) | 2016年建 | 板楼,3室1厅 , 109.47平米 , 南 北 , 精装 , 顶层(共11层) , 2016年建 , 板楼,6人关注 / 26天以前发布,688,"62,849元/平"
翠成馨园A区板楼南北通透三居室 一梯两户 双卧朝南,翠成馨园A区 -垡头,3室2厅 | 122.78平米 | 北 南 | 精装 | 中楼层(共5层) | 2003年建 | 板塔结合,3室2厅 , 122.78平米 , 北 南 , 精装 , 中楼层(共5层) , 2003年建 , 板塔结合,9人关注 / 17天以前发布,580,"47,239元/平"
海淀 田村 中国房子 南北两居  看房方便,中国房子 -田村,2室2厅 | 114.52平米 | 南 北 | 简装 | 中楼层(共9层) | 2004年建 | 板楼,2室2厅 , 114.52平米 , 南 北 , 简装 , 中楼层(共9层) , 2004年建 , 板楼,7人关注 / 23天以前发布,918,"80,161元/平"
智学苑 满五唯一商品房 中楼层带电梯 不临街 诚意出售,智学苑 -西二旗,3室1厅 | 126.65平米 | 东南 | 简装 | 中楼层(共24层) | 2001年建 | 塔楼,3室1厅 , 126.65平米 , 东南 , 简装 , 中楼层(共24层) , 2001年建 , 塔楼,15人关注 / 20天以前发布,769,"60,719元/平"
南北双通透，楼层好视野开阔，采光充足，附加阳台,万科四季花城 -顺义城,3室1厅 | 138.75平米 | 南 北 | 简装 | 11层 | 2008年建 | 板楼,3室1厅 , 138.75平米 , 南 北 , 简装 , 11层 , 2008年建 , 板楼,14人关注 / 21天以前发布,570,"41,082元/平"
梨园小镇 双卫三居室 电梯高层 有地铁 诚心出售,梨园小镇 -梨园,3室1厅 | 109.57平米 | 东南 北 | 简装 | 中楼层(共15层) | 2005年建 | 板塔结合,3室1厅 , 109.57平米 , 东南 北 , 简装 , 中楼层(共15层) , 2005年建 , 板塔结合,2人关注 / 16天以前发布,474,"43,261元/平"
顺驰领海六期大四居室地暖有车位满五唯一户型方正,顺驰领海 -高米店,4室3厅 | 234.05平米 | 南 北 | 毛坯 | 18层 | 2012年建 | 板楼,4室3厅 , 234.05平米 , 南 北 , 毛坯 , 18层 , 2012年建 , 板楼,9人关注 / 22天以前发布,958,"40,932元/平"
西直门外南路24号院 ，带电梯三居，小区可停车,西直门外南路24号院 -车公庄,3室1厅 | 88.9平米 | 南 北 东 | 简装 | 低楼层(共18层) | 1986年建 | 板塔结合,3室1厅 , 88.9平米 , 南 北 东 , 简装 , 低楼层(共18层) , 1986年建 , 板塔结合,39人关注 / 29天以前发布,1058,"119,011元/平"
左家庄西街  4居复式结构  双卫   600万,左家庄西街 -国展,4室2厅 | 108.46平米 | 东 西 | 精装 | 顶层(共6层)  | 板楼,4室2厅 , 108.46平米 , 东 西 , 精装 , 顶层(共6层)  ,不详, 板楼,11人关注 / 16天以前发布,600,"55,320元/平"
国电中兴家园   精装修    有车位  诚心卖,国电中兴家园 -月坛,3室1厅 | 106.3平米 | 西 南 北 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,3室1厅 , 106.3平米 , 西 南 北 , 精装 , 低楼层(共18层) , 1999年建 , 塔楼,2人关注 / 26天以前发布,1468,"138,100元/平"
南北小三居 双卫 保养很好  满二年 随时可看,首城国际A区 -双井,3室1厅 | 91.09平米 | 南 北 | 精装 | 底层(共18层) | 2010年建 | 板楼,3室1厅 , 91.09平米 , 南 北 , 精装 , 底层(共18层) , 2010年建 , 板楼,46人关注 / 30天以前发布,846,"92,876元/平"
九洲溪雅苑优质三居，全通透 双卧客厅朝南好户型,九洲溪雅苑一区 -长阳,3室2厅 | 135.45平米 | 东 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,3室2厅 , 135.45平米 , 东 南 北 , 精装 , 低楼层(共14层) , 2009年建 , 板楼,3人关注 / 21天以前发布,355,"26,209元/平"
东后河沿 2室2厅 南 北,东后河沿 -崇文门,2室2厅 | 81.09平米 | 南 北 | 精装 | 中楼层(共11层) | 1999年建 | 板楼,2室2厅 , 81.09平米 , 南 北 , 精装 , 中楼层(共11层) , 1999年建 , 板楼,3人关注 / 25天以前发布,1055,"130,103元/平"
未来科技城 西湖新村 南北向三居室,西湖新村 -北七家,3室2厅 | 120.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3室2厅 , 120.21平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,13人关注 / 26天以前发布,366,"30,447元/平"
满五唯一，精装修，南北向，诚意出售！,康城别墅二期 -双桥,5室2厅 | 250.21平米 | 南 北 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,5室2厅 , 250.21平米 , 南 北 , 精装 , 中楼层(共5层) , 2004年建 , 板楼,13人关注 / 22天以前发布,920,"36,770元/平"
冠雅苑二层三居室，随时可看，诚心卖,冠雅苑 -北七家,3室1厅 | 91.3平米 | 南 北 西 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,3室1厅 , 91.3平米 , 南 北 西 , 精装 , 低楼层(共6层) , 1999年建 , 板楼,12人关注 / 20天以前发布,338,"37,021元/平"
知春路49号，东南向，两个卫生间，看房方便有钥匙,希格玛公寓 -中关村,3室2厅 | 161.37平米 | 东 南 | 精装 | 中楼层(共20层)  | 塔楼,3室2厅 , 161.37平米 , 东 南 , 精装 , 中楼层(共20层)  ,不详, 塔楼,15人关注 / 30天以前发布,1350,"83,659元/平"
奥森公园门口 6层电梯洋房 5-6层复式 满五唯一 有车位,倚林佳园 -奥林匹克公园,4室2厅 | 177.1平米 | 南 北 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,4室2厅 , 177.1平米 , 南 北 , 精装 , 中楼层(共7层) , 2002年建 , 板楼,30人关注 / 20天以前发布,1750,"98,815元/平"
恩济庄96号院 南北通透全明格局四居室,恩济庄96号院 -定慧寺,4室2厅 | 138.94平米 | 南 西 北 | 简装 | 低楼层(共6层)  | 板楼,4室2厅 , 138.94平米 , 南 西 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,17人关注 / 27天以前发布,1290,"92,846元/平"
南北通透 中间楼层 不临街不把边 看房随时,艺苑西里 -果园,3室1厅 | 109.53平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,3室1厅 , 109.53平米 , 南 北 , 精装 , 中楼层(共6层) , 1999年建 , 板楼,2人关注 / 27天以前发布,395,"36,064元/平"
安德路47号院新上两居室 随时看房 央产房,安德路47号院 -安定门,2室1厅 | 60.25平米 | 东 西 | 简装 | 6层 | 1994年建 | 板楼,2室1厅 , 60.25平米 , 东 西 , 简装 , 6层 , 1994年建 , 板楼,10人关注 / 15天以前发布,638,"105,893元/平"
"电梯中层，带落地窗阳台,直观30万平公园，视野无遮挡",紫金新干线 -霍营,2室1厅 | 89.1平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,2室1厅 , 89.1平米 , 南 北 , 精装 , 低楼层(共9层)  ,不详, 板楼,4人关注 / 10天以前发布,539,"60,494元/平"
八宝庄客厅有户南北通透两居定慧桥西钓鱼台地铁万寿路,八宝庄 -定慧寺,2室1厅 | 55.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 55.5平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,11人关注 / 7天以前发布,540,"97,298元/平"
天伦锦城-精装修小三居满五唯一,天伦锦城 -花乡,3室1厅 | 106.74平米 | 南 北 | 精装 | 顶层(共16层)  | 板楼,3室1厅 , 106.74平米 , 南 北 , 精装 , 顶层(共16层)  ,不详, 板楼,7人关注 / 3天以前发布,520,"48,717元/平"
南北通透3居室全明格局花40万装修，共5层在3层有电梯,远洋一方溪语苑 -双桥,3室2厅 | 89.47平米 | 南 北 | 简装 | 中楼层(共5层) | 2012年建 | 板楼,3室2厅 , 89.47平米 , 南 北 , 简装 , 中楼层(共5层) , 2012年建 , 板楼,15人关注 / 5天以前发布,558,"62,368元/平"
红玺台东户 双卧南向  双客厅  落地窗 面宽宽  边户,红玺台 -太阳宫,4室1厅 | 226.15平米 | 南 北 | 精装 | 25层 | 2011年建 | 板楼,4室1厅 , 226.15平米 , 南 北 , 精装 , 25层 , 2011年建 , 板楼,10人关注 / 17天以前发布,3860,"170,684元/平"
高楼层大视野，满五唯一，主卧客厅朝阳，南北阳台,顺驰领海 -高米店,3室1厅 | 123.78平米 | 南 北 | 精装 | 9层 | 2010年建 | 板塔结合,3室1厅 , 123.78平米 , 南 北 , 精装 , 9层 , 2010年建 , 板塔结合,20人关注 / 29天以前发布,668,"53,967元/平"
清芷园电梯入户的5+1户型，中高层，南北通透,清芷园 -右安门内,5室2厅 | 300.4平米 | 南 北 | 精装 | 17层 | 2003年建 | 板楼,5室2厅 , 300.4平米 , 南 北 , 精装 , 17层 , 2003年建 , 板楼,10人关注 / 22天以前发布,3200,"106,525元/平"
龙泽苑东区 低楼层+精装修 大三居 商五唯一,龙泽苑东区 -回龙观,3室2厅 | 135.82平米 | 南 北 | 精装 | 低楼层(共7层) | 2003年建 | 板楼,3室2厅 , 135.82平米 , 南 北 , 精装 , 低楼层(共7层) , 2003年建 , 板楼,14人关注 / 26天以前发布,730,"53,748元/平"
电梯板楼中间层，商满五唯一、精装修！,领秀慧谷D区 -回龙观,2室2厅 | 90.56平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2室2厅 , 90.56平米 , 南 北 , 精装 , 中楼层(共11层)  ,不详, 板楼,20人关注 / 24天以前发布,625,"69,016元/平"
海淀清河 永泰庄6号院 正规三居 满五年 低楼层 有车位,永泰庄6号院 -清河,3室1厅 | 70.85平米 | 西 东 | 精装 | 底层(共6层)  | 板楼,3室1厅 , 70.85平米 , 西 东 , 精装 , 底层(共6层)  ,不详, 板楼,5人关注 / 17天以前发布,609,"85,957元/平"
