标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
大唐新房 精装修一天没住 价格低 精选好房 赶紧下手！,大唐盛世 -八里台,3室1厅 | 115.54平米 | 南 | 精装 | 32层  | 板楼,3室1厅 , 115.54平米 , 南 , 精装 , 32层  ,不详, 板楼,14人关注 / 27天以前发布,75,"6,492元/平"
满五唯一 精装修 采光好诚意出售 小区优美,宝翠花都焕景园 -瑞景居住区,2室1厅 | 90.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2室1厅 , 90.6平米 , 南 北 , 其他 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 28天以前发布,166,"18,323元/平"
新上 带电梯 不到顶 视野采光棒 南北通透 看房随时,瑞江花园梅苑 -梅江,2室1厅 | 84.1平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,2室1厅 , 84.1平米 , 南 北 , 简装 , 高楼层(共9层)  ,不详, 板楼,1人关注 / 19天以前发布,247,"29,370元/平"
美震瑞景时代 2室1厅 南,美震瑞景时代 -北仓镇,2室1厅 | 83.82平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,2室1厅 , 83.82平米 , 南 , 其他 , 中楼层(共28层)  ,不详, 板楼,1人关注 / 30天以前发布,79,"9,425元/平"
毛坯房 易装修  看房方便 业主诚心出售,荣悦园 -北仓镇,2室1厅 | 83.24平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,2室1厅 , 83.24平米 , 南 北 , 毛坯 , 高楼层(共22层)  ,不详, 板楼,2人关注 / 31天以前发布,76,"9,131元/平"
8号线旁精装一次未住过户型佳无死角大改善三居,大地十二城枫香园 -中北镇,3室2厅 | 142.22平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,3室2厅 , 142.22平米 , 南 北 , 精装 , 低楼层(共27层)  ,不详, 板楼,2人关注 / 20天以前发布,249,"17,509元/平"
此房过五年，无贷款。位置好，前排是别墅，采光无遮挡,金隅满堂 -中北镇,2室1厅 | 90.35平米 | 南 西 北 | 简装 | 中楼层(共11层)  | 板塔结合,2室1厅 , 90.35平米 , 南 西 北 , 简装 , 中楼层(共11层)  ,不详, 板塔结合,1人关注 / 20天以前发布,189,"20,919元/平"
房子过五年，精装装修，楼层居中，小区绿化高,红磡领世郡普泰花园 -双港,3室1厅 | 116.73平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3室1厅 , 116.73平米 , 南 北 , 精装 , 低楼层(共18层)  ,不详, 板楼,3人关注 / 29天以前发布,160,"13,707元/平"
03年社区 采光好 南北通透 私产 可贷款,宁月花园 -二号桥街,2室1厅 | 79.01平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 79.01平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 19天以前发布,145,"18,353元/平"
龙居花园满五唯一，精装修，好楼层，急卖,龙居花园 -大寺,3室2厅 | 104.98平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3室2厅 , 104.98平米 , 南 , 精装 , 低楼层(共6层)  ,不详, 板楼,3人关注 / 19天以前发布,128,"12,193元/平"
私产 3室诚意出售 经典户型 采光好,卫国道 -唐家口,3室1厅 | 75.93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3室1厅 , 75.93平米 , 南 , 简装 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 31天以前发布,125,"16,463元/平"
联发2期，西侧位置不临街，H+1户型通透适合居住,联发锦里 -精武镇,3室2厅 | 111.77平米 | 南 北 | 毛坯 | 7层  | 暂无数据,3室2厅 , 111.77平米 , 南 北 , 毛坯 , 7层  ,不详, 暂无数据,2人关注 / 17天以前发布,275,"24,605元/平"
耀远里阳面无遮挡 不临街不把边无底商 私产五年可贷款,耀远里 -兴南街,1室1厅 | 36.34平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1室1厅 , 36.34平米 , 南 , 精装 , 中楼层(共7层)  ,不详, 板楼,0人关注 / 19天以前发布,153,"42,103元/平"
南北通透户型，双地铁3.6号线交汇，生活配套完善。,迎水西里 -王顶堤,1室1厅 | 41平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1室1厅 , 41平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 24天以前发布,119,"29,025元/平"
此房私产房，采光充足，南北通透两室，交通便利,横江里 -王顶堤,2室1厅 | 56.61平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2室1厅 , 56.61平米 , 南 北 , 简装 , 高楼层(共5层)  ,不详, 板楼,0人关注 / 29天以前发布,127,"22,435元/平"
万科洋房 二楼南向入户 全屋进口家装 带门口车库,万科水晶城揽星园 -梅江,3室2厅 | 142.07平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,3室2厅 , 142.07平米 , 南 北 , 精装 , 中楼层(共4层)  ,不详, 板楼,5人关注 / 23天以前发布,518,"36,461元/平"
智达里  H+1户型  明卫  地采暖  总价低，随时看房,智达里 -精武镇,3室2厅 | 131.12平米 | 东 南 北 | 简装 | 中楼层(共5层)  | 板楼,3室2厅 , 131.12平米 , 东 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,3人关注 / 21天以前发布,187,"14,262元/平"
急售南苑三室，满五唯一，好楼层，有钥匙,社会山南苑 -张家窝,3室1厅 | 90.81平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,3室1厅 , 90.81平米 , 南 北 , 简装 , 低楼层(共16层)  ,不详, 板楼,1人关注 / 24天以前发布,129,"14,206元/平"
急售万科开发精装三居就住过几天带30平小院,麒麟湿地·万科小镇 -宁河,3室2厅 | 91.57平米 | 南 北 | 精装 | 7层  | 板楼,3室2厅 , 91.57平米 , 南 北 , 精装 , 7层  ,不详, 板楼,2人关注 / 30天以前发布,82,"8,955元/平"
诚心出售 价格合适 成熟社区 交通便利 户型方正,育才里(津南) -咸水沽,2室2厅 | 72.56平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2室2厅 , 72.56平米 , 南 , 简装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 25天以前发布,56,"7,718元/平"
堤北里 大产权 采光好 南北通透 配套成熟 得房率约90%,堤北里 -王顶堤,2室1厅 | 79.23平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,2室1厅 , 79.23平米 , 南 北 , 其他 , 低楼层(共6层)  ,不详, 塔楼,4人关注 / 19天以前发布,225,"28,399元/平"
楼栋位置好，中间楼层带装修，满五唯一没有个税,晓镇家园 -工农村,3室1厅 | 110.79平米 | 东南 | 其他 | 低楼层(共34层)  | 板楼,3室1厅 , 110.79平米 , 东南 , 其他 , 低楼层(共34层)  ,不详, 板楼,2人关注 / 20天以前发布,113,"10,200元/平"
中间楼层，采光很好，视野很好，面积大，诚意出售,新城大厦 -挂甲寺,2室1厅 | 87.92平米 | 西 北 西北 | 其他 | 中楼层(共24层)  | 塔楼,2室1厅 , 87.92平米 , 西 北 西北 , 其他 , 中楼层(共24层)  ,不详, 塔楼,1人关注 / 22天以前发布,239,"27,184元/平"
此房私产满五唯一，无抵押，有钥匙，不临街，新星片,天新里 -南营门街,1室1厅 | 35.3平米 | 西北 | 简装 | 中楼层(共7层)  | 板楼,1室1厅 , 35.3平米 , 西北 , 简装 , 中楼层(共7层)  ,不详, 板楼,0人关注 / 16天以前发布,258,"73,088元/平"
桃园街/五大道旁/马场道55.78㎡正规两室/看房方便,修业里 -桃园街,2室1厅 | 55.78平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 55.78平米 , 东 , 简装 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 25天以前发布,188,"33,704元/平"
首创别墅 万科物业 有小院 过俩年无大税,首创溪堤郡颂园 -华明镇,5室2厅 | 248.24平米 | 南 | 其他 | 3层  | 板楼 | 联排别墅 ,5室2厅 , 248.24平米 , 南 , 其他 , 3层  , 板楼 , 联排别墅 ,28人关注 / 一年前发布,355,"14,301元/平"
云锦世家电梯洋房  带阁楼 楼上楼下一样大,云锦世家 -中北镇,4室2厅 | 106.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4室2厅 , 106.86平米 , 南 北 , 精装 , 高楼层(共7层)  ,不详, 板楼,77人关注 / 一年前发布,310,"29,010元/平"
河西区纯别墅小区  原结构无违建看房有钥匙，诚心出售,城市别墅 -梅江,4室2厅 | 193.79平米 | 南 北 | 精装 | 1层  | 板楼 | 联排别墅 ,4室2厅 , 193.79平米 , 南 北 , 精装 , 1层  , 板楼 , 联排别墅 ,73人关注 / 3个月以前发布,720,"37,154元/平"
不临街，楼层好，全明户型，采光好强，南北通透,名都公寓 -梅江,3室2厅 | 135.63平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3室2厅 , 135.63平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,13人关注 / 2个月以前发布,363,"26,764元/平"
津门湖橘墅大平层，精装修，可观湖，通透户型,富力津门湖橘墅花园 -李七庄,4室2厅 | 277.19平米 | 南 西南 | 精装 | 高楼层(共32层)  | 板楼,4室2厅 , 277.19平米 , 南 西南 , 精装 , 高楼层(共32层)  ,不详, 板楼,20人关注 / 6个月以前发布,738,"26,625元/平"
店长强推 有钥匙 单价低 视野好采光棒满五双地铁好房,城南家园 -兴南街,3室2厅 | 149.15平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,3室2厅 , 149.15平米 , 南 北 , 精装 , 高楼层(共28层)  ,不详, 板塔结合,4人关注 / 1个月以前发布,558,"37,413元/平"
尚品  顶层带阁楼 纯毛坯 大四室 看房方便,尚品嘉园 -大营门,4室3厅 | 303.98平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,4室3厅 , 303.98平米 , 南 北 , 其他 , 高楼层(共15层)  ,不详, 板楼,1人关注 / 1个月以前发布,1270,"41,780元/平"
水西边户别墅 房本355㎡ 院2百多 双车库有地下室阁楼,中信·珺台碧珺园 -侯台,6室3厅 | 354.53平米 | 南 北 西 | 简装 | 3层  | 板楼 | 联排别墅 ,6室3厅 , 354.53平米 , 南 北 西 , 简装 , 3层  , 板楼 , 联排别墅 ,25人关注 / 5个月以前发布,943,"26,599元/平"
龙博花园，顶楼带阁楼，南北通透,龙博花园 -柳林街,3室2厅 | 105.81平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3室2厅 , 105.81平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,25人关注 / 一年前发布,178,"16,823元/平"
天津南站 花园社区 保利罗兰公馆，满五唯一，墅级洋房,保利罗兰公馆 -张家窝,4室2厅 | 132.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4室2厅 , 132.06平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,5人关注 / 2个月以前发布,380,"28,775元/平"
顶楼带阁楼 精装修 采光充足 诚心出售,四季馨园 -陈塘庄,2室2厅 | 85.22平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室2厅 , 85.22平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,87人关注 / 8个月以前发布,252,"29,571元/平"
津门湖高品质低密临湖双拼别墅，400平米临湖大院,富力津门湖芳堤花园 -李七庄,6室1厅 | 273.89平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,6室1厅 , 273.89平米 , 南 , 毛坯 , 3层  , 板楼 , 联排别墅 ,2人关注 / 2个月以前发布,1600,"58,418元/平"
满五年，稀有小三居  全明 视野好 万科物业 70年产权,世纪梧桐公寓 -梅江,3室2厅 | 113.56平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,3室2厅 , 113.56平米 , 南 北 , 简装 , 高楼层(共17层)  ,不详, 板楼,54人关注 / 一年前发布,385,"33,903元/平"
商品房  小区中间位置 好楼层 采光好 视野棒,龙都花园 -挂甲寺,2室1厅 | 79.86平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2室1厅 , 79.86平米 , 南 北 , 精装 , 中楼层(共7层)  ,不详, 板楼,3人关注 / 30天以前发布,286,"35,813元/平"
跃层户型，采光无遮挡，中间楼层,亲和美园 -大寺,2室1厅 | 87.26平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2室1厅 , 87.26平米 , 南 , 毛坯 , 高楼层(共18层)  ,不详, 板楼,2人关注 / 20天以前发布,93,"10,658元/平"
绿化贼好的小区石油住宅区精装两室 南北通透 诚心出售,中国石油住宅区 -杭州道,2室1厅 | 54.74平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2室1厅 , 54.74平米 , 南 北 , 精装 , 中楼层(共5层)  ,不详, 板楼,1人关注 / 27天以前发布,83,"15,163元/平"
宝平西区，楼层好 视野开阔 采光充足 配套齐全,宝平景苑西区 -南关大街,2室2厅 | 89.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2室2厅 , 89.12平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,1人关注 / 1个月以前发布,68,"7,631元/平"
和平里北区三室一厅配套成熟交通便利适宜陪读,和平里小区北区 -杨村,3室1厅 | 118.24平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3室1厅 , 118.24平米 , 南 北 , 精装 , 中楼层(共5层)  ,不详, 板楼,4人关注 / 27天以前发布,97,"8,204元/平"
非顶楼，精装修，家长们都懂买了就能用，有钥匙随时看,翠亨村B区 -第三大街,2室2厅 | 94.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室2厅 , 94.57平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 17天以前发布,165,"17,448元/平"
华庆里5楼税费低 好房子 诚意出售 看房方便,华庆里 -春华街,1室1厅 | 54.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1室1厅 , 54.13平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 18天以前发布,90.8,"16,775元/平"
万隆花园 2室1厅 南 北,万隆花园 -万新街,2室1厅 | 72.26平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2室1厅 , 72.26平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,3人关注 / 26天以前发布,115,"15,915元/平"
河西一pian  湘江道，明卫，有电梯,龙海公寓 -下瓦房,1室1厅 | 50.84平米 | 西 | 简装 | 中楼层(共11层)  | 板楼,1室1厅 , 50.84平米 , 西 , 简装 , 中楼层(共11层)  ,不详, 板楼,1人关注 / 25天以前发布,183,"35,996元/平"
金域华府二期好楼层好位置 满五唯一 业主诚心出售,万科金域华府 -新立街,3室1厅 | 92.76平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,3室1厅 , 92.76平米 , 南 北 , 其他 , 高楼层(共15层)  ,不详, 板楼,0人关注 / 23天以前发布,140,"15,093元/平"
风致里 企业产 一室 五楼不到顶,风致里 -柳林街,2室1厅 | 41.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2室1厅 , 41.78平米 , 南 北 , 其他 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 29天以前发布,100,"23,935元/平"
新临池里 99年小区 楼前无挡 阳面 私产满五 价格能谈,临池里 -向阳楼,1室1厅 | 48.16平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1室1厅 , 48.16平米 , 南 , 简装 , 中楼层(共7层)  ,不详, 板楼,0人关注 / 26天以前发布,68.8,"14,286元/平"
富力又一城 合雅园  3居南北通透 全明户型 环境好,富力又一城合雅园 -咸水沽,3室2厅 | 86.13平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,3室2厅 , 86.13平米 , 南 北 , 简装 , 高楼层(共33层)  ,不详, 塔楼,0人关注 / 20天以前发布,121,"14,049元/平"
低楼层 私产一室 空房 看房随时,前进新里 -向阳楼,1室1厅 | 40.22平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,1室1厅 , 40.22平米 , 东 , 简装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 18天以前发布,69,"17,156元/平"
精装修南北通厅，位置好，一天未住，看房方便！,福港园(大港区) -大港,2室1厅 | 94.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 94.67平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 27天以前发布,116,"12,254元/平"
海清园  中间位置  好楼层  两室通厅  毛坯  可议,经纬海清园 -大港,2室2厅 | 90.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,2室2厅 , 90.4平米 , 南 北 , 毛坯 , 中楼层(共11层)  ,不详, 板塔结合,0人关注 / 21天以前发布,121,"13,385元/平"
两室一厅全阳户型楼层好 采光充足 配套齐全 地铁4在建,富锦华庭 -北仓镇,2室1厅 | 72.95平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,2室1厅 , 72.95平米 , 南 , 精装 , 中楼层(共28层)  ,不详, 塔楼,2人关注 / 20天以前发布,77,"10,556元/平"
户型好一室偏独 通透 采光没问题 钥匙房随时看,海华里 -下瓦房,1室1厅 | 50.28平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,1室1厅 , 50.28平米 , 东 西 , 简装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 27天以前发布,183,"36,397元/平"
双阳两室，价格可议 非顶楼，业主诚心出售。,晨阳里 -向阳楼,2室1厅 | 64.21平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 64.21平米 , 南 , 简装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 25天以前发布,125,"19,468元/平"
急售 滨海龙都 低楼层 满五年 看房方便,滨海龙都 -新村街,2室1厅 | 98.48平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2室1厅 , 98.48平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,2人关注 / 25天以前发布,174,"17,669元/平"
玉容花园 双阳户型不到顶 私产可贷款 采光好 价格可议,玉容花园 -王串场,2室1厅 | 82.77平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2室1厅 , 82.77平米 , 南 北 , 简装 , 高楼层(共7层)  ,不详, 板楼,0人关注 / 29天以前发布,122,"14,740元/平"
合雅园3室，业主诚意出售，中间楼层户型方正看房方便,富力又一城合雅园 -咸水沽,3室1厅 | 88.42平米 | 南 | 简装 | 33层  | 塔楼,3室1厅 , 88.42平米 , 南 , 简装 , 33层  ,不详, 塔楼,1人关注 / 27天以前发布,109,"12,328元/平"
业主诚心出售，满五唯一，采光好,金地艺境 -辛庄,2室1厅 | 83.38平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2室1厅 , 83.38平米 , 南 , 精装 , 中楼层(共33层)  ,不详, 板塔结合,1人关注 / 21天以前发布,113,"13,553元/平"
中间楼层 采光良好 位置佳 价格廉 满五唯一 有钥匙,金地艺城悦府 -辛庄,3室2厅 | 95.85平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板塔结合,3室2厅 , 95.85平米 , 南 北 , 毛坯 , 高楼层(共23层)  ,不详, 板塔结合,1人关注 / 19天以前发布,128,"13,355元/平"
地铁5号线 中楼层通透两居 装修好 诚意出售,来安里 -上杭路,2室1厅 | 86.05平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 86.05平米 , 东 西 , 精装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 27天以前发布,175,"20,338元/平"
鹤望里私产  明厨明卫有客厅  东西通透 维护人有钥匙,鹤望里 -挂甲寺,1室1厅 | 47.33平米 | 东 西 | 简装 | 中楼层(共9层)  | 板楼,1室1厅 , 47.33平米 , 东 西 , 简装 , 中楼层(共9层)  ,不详, 板楼,1人关注 / 20天以前发布,185,"39,088元/平"
河西，精装修，业主诚心出售，拎包入住，不临街不把边,桂江里(河西区) -东海街,1室1厅 | 26.01平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1室1厅 , 26.01平米 , 南 , 简装 , 中楼层(共6层)  ,不详, 板楼,3人关注 / 20天以前发布,105,"40,370元/平"
准新房，户型方正，物业服务佳，三室改四室,正荣府 -天穆镇,3室2厅 | 126.1平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,3室2厅 , 126.1平米 , 南 北 , 其他 , 低楼层(共11层)  ,不详, 板楼,0人关注 / 15天以前发布,230,"18,240元/平"
视野开阔 楼层好 采光好  户型方正 业主诚意,欧铂城 -宜兴埠,3室1厅 | 115平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,3室1厅 , 115平米 , 南 , 毛坯 , 高楼层(共33层)  ,不详, 塔楼,1人关注 / 13天以前发布,100,"8,696元/平"
五马路 公园北里、一室南北通透偏独，明厅全明户型！,公园北里 -广开街,1室1厅 | 40.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1室1厅 , 40.23平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 13天以前发布,172,"42,755元/平"
淮和园通透两居 采光好 无遮挡 满五唯一 看房方便,淮和园 -宜兴埠,2室1厅 | 88.53平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,2室1厅 , 88.53平米 , 南 北 , 精装 , 中楼层(共18层)  ,不详, 板塔结合,0人关注 / 9天以前发布,114,"12,877元/平"
私产可贷款 中间楼层 房子亮堂 视野开阔 出行便利,凤园北里 -王顶堤,2室1厅 | 59.3平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2室1厅 , 59.3平米 , 南 , 其他 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 15天以前发布,138,"23,272元/平"
鼓楼南开北、总价低一室，户型方正,艺术公寓 -鼓楼街,1室0厅 | 47.36平米 | 西北 | 精装 | 低楼层(共32层)  | 塔楼,1室0厅 , 47.36平米 , 西北 , 精装 , 低楼层(共32层)  ,不详, 塔楼,0人关注 / 6天以前发布,183,"38,641元/平"
河西 私产过5年 毛坯未住过人 看房方便诚心出售,龙博花园 -柳林街,1室1厅 | 55.31平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1室1厅 , 55.31平米 , 南 , 毛坯 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 16天以前发布,110,"19,888元/平"
此房老证空户，前排好位置，带车位，房主诚心出售。,鸿坤原乡郡 -黄庄,3室1厅 | 88.71平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,3室1厅 , 88.71平米 , 南 北 , 精装 , 高楼层(共27层)  ,不详, 板楼,0人关注 / 13天以前发布,115,"12,964元/平"
业主急售 维护到位 价格找我聊 远洋里 上海道 钥匙房,远洋里 -新村街,2室1厅 | 83.77平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2室1厅 , 83.77平米 , 南 北 , 其他 , 高楼层(共18层)  ,不详, 板楼,2人关注 / 13天以前发布,134,"15,997元/平"
通透，H户型，82%的出房率，低楼层，业主诚心出售。,宝庆里 -张家窝,2室1厅 | 102.44平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2室1厅 , 102.44平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,0人关注 / 10天以前发布,105,"10,250元/平"
华江里 2室1厅 南 北,华江里 -东海街,2室1厅 | 39.38平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 39.38平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 13天以前发布,127,"32,250元/平"
房子南北通透户型，明厨明卫，诚心出售,滨翔花园（远洋城4期） -胡家园,2室1厅 | 86.85平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,2室1厅 , 86.85平米 , 南 北 , 其他 , 低楼层(共30层)  ,不详, 板楼,2人关注 / 13天以前发布,90,"10,363元/平"
此房私产满五，户型方正，南北通透，看房方便,文玥里 -友谊路,2室1厅 | 62.96平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2室1厅 , 62.96平米 , 南 北 , 其他 , 高楼层(共6层)  ,不详, 板楼,7人关注 / 14天以前发布,129,"20,490元/平"
上海道，私产，可贷款，适合居住,围堤道200号 -马场街,2室1厅 | 59.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2室1厅 , 59.48平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,2人关注 / 13天以前发布,290,"48,756元/平"
西康路  一室私产 低楼层 交通便利,气象台路 -新兴街,1室1厅 | 35.39平米 | 西 | 简装 | 中楼层(共5层)  | 板楼,1室1厅 , 35.39平米 , 西 , 简装 , 中楼层(共5层)  ,不详, 板楼,1人关注 / 6天以前发布,235,"66,403元/平"
十五经路12号  私产过5年  小区环境好  看房方便,十五经路12号 -大王庄,2室1厅 | 49.14平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,2室1厅 , 49.14平米 , 南 北 , 简装 , 低楼层(共3层)  ,不详, 板楼,4人关注 / 15天以前发布,82,"16,688元/平"
新出雪优大一室 采光好 精装修 业主诚意出售,海上国际城 -华明镇,1室1厅 | 73.68平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,1室1厅 , 73.68平米 , 南 , 简装 , 高楼层(共24层)  ,不详, 板楼,0人关注 / 9天以前发布,78,"10,587元/平"
房子好楼层，南北通透户型，采光好、,龙祥园 -下朱庄,2室1厅 | 96.15平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2室1厅 , 96.15平米 , 南 北 , 其他 , 高楼层(共18层)  ,不详, 板楼,0人关注 / 5天以前发布,105,"10,921元/平"
精装一天没住过 即买即住 三室,融创星耀五洲 -八里台,3室2厅 | 114.96平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,3室2厅 , 114.96平米 , 西 , 精装 , 中楼层(共33层)  ,不详, 板楼,3人关注 / 15天以前发布,65,"5,655元/平"
此房满五唯一，通透格局，两居室，中高楼层采广好,梅江康城 -大寺,2室1厅 | 88.92平米 | 南 西 | 其他 | 中楼层(共24层)  | 板楼,2室1厅 , 88.92平米 , 南 西 , 其他 , 中楼层(共24层)  ,不详, 板楼,1人关注 / 13天以前发布,146,"16,420元/平"
急卖精装修满五唯一 采光好视野好诚意出售有钥匙,清枫园 -中北镇,2室1厅 | 65.14平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,2室1厅 , 65.14平米 , 南 北 , 精装 , 高楼层(共5层)  ,不详, 板楼,0人关注 / 11天以前发布,117,"17,962元/平"
湘江道一室，总价低，看房有钥匙,云广新里 -挂甲寺,1室1厅 | 30.56平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,1室1厅 , 30.56平米 , 东 , 简装 , 高楼层(共7层)  ,不详, 板楼,0人关注 / 8天以前发布,102,"33,377元/平"
满五唯一，小区中间位置，户型方正 诚心出售,汉江里 -东海街,2室1厅 | 55.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 55.13平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,5人关注 / 11天以前发布,132,"23,944元/平"
双山新苑，阳面，大一居，三水道,双山新苑 -柳林街,1室1厅 | 55.4平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1室1厅 , 55.4平米 , 南 , 毛坯 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 14天以前发布,129,"23,286元/平"
精装一天没住过 即买即住 三室,融创星耀五洲 -八里台,3室2厅 | 114.96平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,3室2厅 , 114.96平米 , 西 , 精装 , 中楼层(共33层)  ,不详, 板楼,3人关注 / 15天以前发布,65,"5,655元/平"
满五唯一，小区中间位置，户型方正 诚心出售,汉江里 -东海街,2室1厅 | 55.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 55.13平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,5人关注 / 11天以前发布,132,"23,944元/平"
